PROTID	m.ID	concat.id	KO.1	KO.GENE.1	DESCRIPTION.1	KO.EC.1	SCORE.KO.1	KO.2	KO.GENE.2	DESCRIPTION.2	SCORE.KO.2		KO.ALL	MET.PATH.1	MET.PATH.2	UNIPROT.ID	UNIPROT.DESC	Ca_BIND	GO.ONTOLOGY	BP.GO.ONTOLOGY
lcl|c162537_g1_i2|m.418	m.418	 neuregulin 4* [NRG4] (m.418)					2	K05458	NRG4	 neuregulin 4	1		K05458		"ErbB signaling pathway, Amyotrophic lateral sclerosis"					
lcl|c163018_g1_i1|m.419	m.419	 U6 snRNA-associated Sm-like protein LSm1 [LSM1] (m.419)	K12620	LSM1	 U6 snRNA-associated Sm-like protein LSm1		105						K12620	RNA degradation		A0A3M6TKX0	U6 snRNA-associated Sm-like protein LSm1		P-body [GO:0000932]; RNA cap binding [GO:0000339]; mRNA processing [GO:0006397]; nuclear-transcribed mRNA catabolic process [GO:0000956]	mRNA processing [GO:0006397]; nuclear-transcribed mRNA catabolic process [GO:0000956]
lcl|c163027_g1_i3|m.422	m.422	Uncharacterized protein** [] (m.422)					56									A0A3M6UKP0	Uncharacterized protein			
lcl|c164477_g1_i1|m.439	m.439	 secretory phospholipase A2  [PLA2G] (m.439)	K01047	PLA2G	 secretory phospholipase A2 	[EC:3.1.1.4]	29						K01047	"Glycerophospholipid metabolism, Ether lipid metabolism, Linoleic acid metabolism, alpha-Linolenic acid metabolism, Ras signaling pathway, Fat digestion and absorption, Arachidonic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Vascular smooth muscle contraction, Pancreatic secretion"		A0A3M6TNH9	Phospholipase A(2) (EC 3.1.1.4)		"extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; phospholipase A2 activity [GO:0004623]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; arachidonic acid secretion [GO:0050482]; lipid catabolic process [GO:0016042]; phospholipid metabolic process [GO:0006644]"	arachidonic acid secretion [GO:0050482]; lipid catabolic process [GO:0016042]; phospholipid metabolic process [GO:0006644]
lcl|c164490_g1_i1|m.440	m.440	Na(+)/H(+) exchange regulatory cofactor NHE-RF2* [] (m.440)														A0A2B4RGC1	Na(+)/H(+) exchange regulatory cofactor NHE-RF2			
lcl|c167783_g1_i1|m.480	m.480	 L-rhamnose mutarotase  [rhaM] (m.480)	K03534	rhaM	 L-rhamnose mutarotase 	[EC:5.1.3.32]	22						K03534			A0A2B4SEX5	L-rhamnose mutarotase		"racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]"	
lcl|c169738_g3_i1|m.502	m.502	* [] (m.502)		FURIN	 furin 	[EC:3.4.21.75]	45	K08672			25		K01349			A0A2B4RZJ6	Proprotein convertase subtilisin/kexin type 4		integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]	
lcl|c169761_g1_i1|m.505	m.505	 secreted effector protein PipB2* [pipB2] (m.505)					11	K15352	pipB2	 secreted effector protein PipB2	1		K15352		Salmonella infection					
lcl|c175296_g1_i1|m.560	m.560	Putative craniofacial development protein 2-like* [] (m.560)					81									A0A2G8JWM5	Putative craniofacial development protein 2-like			
lcl|c176627_g1_i2|m.576	m.576	* [] (m.576)					4	K19467			3		K19467			A0A3M6UZT8	Uncharacterized protein (Fragment)			
lcl|c176630_g1_i1|m.578	m.578	 cAMP-dependent protein kinase regulator [PRKAR] (m.578)	K04739	PRKAR	 cAMP-dependent protein kinase regulator		179						K04739	Insulin signaling pathway		A0A3M6UIE4	Uncharacterized protein		cAMP-dependent protein kinase complex [GO:0005952]; cAMP binding [GO:0030552]; cAMP-dependent protein kinase regulator activity [GO:0008603]	
lcl|c178509_g1_i1|m.610	m.610	* [] (m.610)		CTRB	 chymotrypsin 	[EC:3.4.21.1]	68	K09640			5		K01310			A0A2B4RK46	Chymotrypsinogen B2		serine-type endopeptidase activity [GO:0004252]	
lcl|c179773_g1_i1|m.636	m.636	Chitin-binding type-2 domain-containing protein* [] (m.636)														A0A3M6THC4	Chitin-binding type-2 domain-containing protein		extracellular region [GO:0005576]; chitin binding [GO:0008061]	
lcl|c180548_g1_i1|m.648	m.648	 mitochondrial import inner membrane translocase subunit TIM23 [PAM17] (m.648)	K17806	PAM17	 mitochondrial import inner membrane translocase subunit TIM23		29						K17806			A0A2B4RT10	"Presequence translocated-associated motor subunit PAM17, mitochondrial"		"integral component of membrane [GO:0016021]; PAM complex, Tim23 associated import motor [GO:0001405]"	
lcl|c181783_g1_i1|m.659	m.659	* [] (m.659)																		
lcl|c182463_g1_i1|m.663	m.663	* [] (m.663)					4	K22441			1		K22441			A0A2B4S7P5	Uncharacterized protein			
lcl|c182783_g2_i1|m.669	m.669	 acetyl-CoA synthetase [EC:6.2.1.1]* [ACSS1_2] (m.669)					22	K01895	ACSS1_2	 acetyl-CoA synthetase [EC:6.2.1.1]	2		K01895		"Glycolysis / Gluconeogenesis, Carbon metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Methane metabolism, Carbon fixation pathways in prokaryotes, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"					
lcl|c183284_g1_i1|m.675	m.675	 Notch 3* [NOTCH3] (m.675)					4	K20995	NOTCH3	 Notch 3	1		K20995		"Endocrine resistance, Dorso-ventral axis formation, Notch signaling pathway, Apelin signaling pathway, Th1 and Th2 cell differentiation, Thyroid hormone signaling pathway, Human papillomavirus infection, Pathways in cancer, MicroRNAs in cancer, Breast cancer"	A0A3M6UX55	Uncharacterized protein			
lcl|c183731_g1_i1|m.686	m.686	 tumor necrosis factor ligand superfamily member 15* [TNFSF15] (m.686)					8	K05478	TNFSF15	 tumor necrosis factor ligand superfamily member 15	4		K05478		Cytokine-cytokine receptor interaction	A0A3M6THC5	TNF_2 domain-containing protein		membrane [GO:0016020]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]	immune response [GO:0006955]
lcl|c184118_g1_i1|m.691	m.691	 histone H2A [H2A] (m.691)	K11251	H2A	 histone H2A		107						K11251	"Necroptosis, Alcoholism, Systemic lupus erythematosus"		A7RFQ0	Histone H2A		nuclear chromatin [GO:0000790]; nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; chromatin organization [GO:0006325]; chromatin silencing [GO:0006342]	chromatin organization [GO:0006325]; chromatin silencing [GO:0006342]
lcl|c185036_g1_i1|m.702	m.702	 meprin B [EC:3.4.24.63]* [MEP1B] (m.702)					11	K08606	MEP1B	 meprin B [EC:3.4.24.63]	1		K08606		Protein digestion and absorption	A0A2B4SGJ2	Metalloendopeptidase (EC 3.4.24.-)		membrane [GO:0016020]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	
lcl|c185883_g1_i2|m.712	m.712	 ORC ubiquitin ligase 1  [OBI1] (m.712)	K24091	OBI1	 ORC ubiquitin ligase 1 	[EC:2.3.2.27]	113						K24091			A0A3M6UW34	RING-type domain-containing protein		ubiquitin-protein transferase activity [GO:0004842]; protein monoubiquitination [GO:0006513]; regulation of DNA replication [GO:0006275]	protein monoubiquitination [GO:0006513]; regulation of DNA replication [GO:0006275]
lcl|c185981_g1_i2|m.719	m.719	 Eph receptor A6 [EC:2.7.10.1]* [EPHA6] (m.719)					4	K05107	EPHA6	 Eph receptor A6 [EC:2.7.10.1]	1		K05107		Axon guidance	A0A3M6UR12	Uncharacterized protein			
lcl|c186217_g1_i1|m.726	m.726	" collagen, type VI, alpha* [COL6A] (m.726)"					13	K06238	COL6A	" collagen, type VI, alpha"	7		K06238		"Protein digestion and absorption, Focal adhesion, PI3K-Akt signaling pathway, ECM-receptor interaction, Human papillomavirus infection"	A0A2B4RU99	Synaptotagmin-like protein 4			
lcl|c187253_g2_i1|m.744	m.744	Uncharacterized protein** [] (m.744)					16									A0A2B4SH71	Uncharacterized protein			
lcl|c187743_g1_i2|m.753	m.753	 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 [SMARCB1] (m.753)	K11648	SMARCB1	 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1		318						K11648	"Thermogenesis, Hepatocellular carcinoma"		A0A3M6UJI3	Uncharacterized protein (Fragment)		nuclear chromosome [GO:0000228]; chromatin remodeling [GO:0006338]	chromatin remodeling [GO:0006338]
lcl|c187971_g1_i1|m.759	m.759	 dickkopf* [DKK] (m.759)					9	K02165	DKK	 dickkopf	1		K02165		"Wnt signaling pathway, Alzheimer disease"	A0A3M6UHC9	Uncharacterized protein			
lcl|c188047_g2_i2|m.760	m.760	 acyl-CoA oxidase  [ACOX1] (m.760)	K00232	ACOX1	 acyl-CoA oxidase 	[EC:1.3.3.6]	360						K00232	"beta-Alanine metabolism, Carbon metabolism, Fatty acid degradation, alpha-Linolenic acid metabolism, Propanoate metabolism, Biosynthesis of unsaturated fatty acids, Fatty acid metabolism, cAMP signaling pathway, Peroxisome, Metabolic pathways, Biosynthesis of secondary metabolites, PPAR signaling pathway"		A0A3M6T4C8	Acyl-coenzyme A oxidase		integral component of membrane [GO:0016021]; peroxisome [GO:0005777]; acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid beta-oxidation [GO:0006635]	fatty acid beta-oxidation [GO:0006635]
lcl|c188073_g1_i1|m.763	m.763	 NAD(P)H-hydrate epimerase  [NAXE] (m.763)	K17759	NAXE	 NAD(P)H-hydrate epimerase 	[EC:5.1.99.6]	90						K17759			A0A2B4SWX0	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)		metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nucleotide binding [GO:0000166]	
lcl|c188930_g1_i2|m.794	m.794	Universal stress protein Sll1388* [] (m.794)					36									A0A2B4SSU5	Universal stress protein Sll1388			
lcl|c189444_g1_i1|m.802	m.802	 thiosulfate/3-mercaptopyruvate sulfurtransferase  [TST] (m.802)	K01011	TST	 thiosulfate/3-mercaptopyruvate sulfurtransferase 	[EC:2.8.1.1 2.8.1.2]	178						K01011	"Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Sulfur relay system"		A0A3M6UEM0	Uncharacterized protein			
lcl|c189749_g1_i1|m.807	m.807	" Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1* [ARAP1] (m.807)"					3	K18439	ARAP1	" Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1"	1		K18439		Endocytosis	A0A3M6U098	Uncharacterized protein		GTPase activator activity [GO:0005096]; signal transduction [GO:0007165]	signal transduction [GO:0007165]
lcl|c191891_g1_i1|m.849	m.849	 [histone H3]-lysine9 N-trimethyltransferase PRDM2 [EC:2.1.1.355]* [PRDM2] (m.849)					9	K11432	PRDM2	 [histone H3]-lysine9 N-trimethyltransferase PRDM2 [EC:2.1.1.355]	1		K11432		"Lysine degradation, Metabolic pathways"	A0A2B4SS82	Uncharacterized protein			
lcl|c192621_g3_i1|m.866	m.866	 methyl-accepting chemotaxis protein* [mcp] (m.866)					23	K03406	mcp	 methyl-accepting chemotaxis protein	1		K03406		"Two-component system, Bacterial chemotaxis"	A0A1S3I8J3	uncharacterized protein LOC106165144 isoform X4			
lcl|c194625_g1_i1|m.911	m.911	 myosin regulatory light chain 12* [MYL12] (m.911)		MYL9	 myosin regulatory light chain 9		95	K12757	MYL12	 myosin regulatory light chain 12	11		K12755		"Axon guidance, Focal adhesion, Regulation of actin cytoskeleton, Tight junction, Platelet activation, Leukocyte transendothelial migration, Shigellosis, Salmonella infection"	A0A2B4SUZ6	Myosin regulatory light chain sqh	"CA_BIND 44..55;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448"""	calcium ion binding [GO:0005509]	
lcl|c195423_g1_i1|m.937	m.937	 dynactin 6 [DCTN6] (m.937)	K10428	DCTN6	 dynactin 6		124						K10428	"Vasopressin-regulated water reabsorption, Amyotrophic lateral sclerosis, Huntington disease"		A0A3M6UB98	Uncharacterized protein		dynactin complex [GO:0005869]	
lcl|c195446_g1_i2|m.938	m.938	 diacylglycerol kinase (ATP) [EC:2.7.1.107]* [dgkA] (m.938)					14	K00901	dgkA	 diacylglycerol kinase (ATP) [EC:2.7.1.107]	1		K00901		"Glycerolipid metabolism, Glycerophospholipid metabolism, Axon regeneration, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system, Phospholipase D signaling pathway, Choline metabolism in cancer"	A0A2B4SCS4	Uncharacterized protein			
lcl|c195747_g2_i1|m.945	m.945	 actin beta/gamma 1 [ACTB_G1] (m.945)	K05692	ACTB_G1	 actin beta/gamma 1		19						K05692	"Apoptosis, Rap1 signaling pathway, Phagosome, Focal adhesion, Adherens junction, Thermogenesis, Regulation of actin cytoskeleton, Gastric acid secretion, Hippo signaling pathway, Hippo signaling pathway - fly, Tight junction, Platelet activation, Leukocyte transendothelial migration, Phototransduction - fly, Thyroid hormone signaling pathway, Oxytocin signaling pathway, Amyotrophic lateral sclerosis, Bacterial invasion of epithelial cells, Vibrio cholerae infection, Pathogenic Escherichia coli infection, Shigellosis, Salmonella infection, Yersinia infection, Influenza A, Proteoglycans in cancer, Hepatocellular carcinoma, Hypertrophic cardiomyopathy, Arrhythmogenic right ventricular cardiomyopathy, Dilated cardiomyopathy, Viral myocarditis, Fluid shear stress and atherosclerosis"		W4Y1A3	"Actin, cytoskeletal 2A"		actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]	
lcl|c195892_g1_i2|m.950	m.950	Uncharacterized protein (Fragment)** [] (m.950)					21									A0A3M6U604	Uncharacterized protein (Fragment)			
lcl|c196470_g1_i2|m.974	m.974	 coiled-coil-helix-coiled-coil-helix domain-containing protein 2 [CHCHD2] (m.974)	K22758	CHCHD2	 coiled-coil-helix-coiled-coil-helix domain-containing protein 2		57						K22758			A0A2B4SKR0	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial"			
lcl|c196739_g1_i3|m.986	m.986	* [] (m.986)					8	K18402			1		K18402							
lcl|c197607_g1_i1|m.1006	m.1006	integral component of membrane [GO:0016021]** [] (m.1006)					33									A0A3M6UVW7	Uncharacterized protein		integral component of membrane [GO:0016021]	
lcl|c198250_g1_i1|m.1044	m.1044	 glycyl-tRNA synthetase [EC:6.1.1.14]* [GARS] (m.1044)					21	K01880	GARS	 glycyl-tRNA synthetase [EC:6.1.1.14]	1		K01880		Aminoacyl-tRNA biosynthesis	A0A2B4RUN9	Uncharacterized protein			
lcl|c198620_g1_i2|m.1049	m.1049	 glutathione peroxidase  [gpx] (m.1049)	K00432	gpx	 glutathione peroxidase 	[EC:1.11.1.9]	69						K00432	"Glutathione metabolism, Arachidonic acid metabolism, Metabolic pathways, Thyroid hormone synthesis, Amyotrophic lateral sclerosis, Huntington disease"		A0A3P8ULV5	Glutathione peroxidase		glutathione peroxidase activity [GO:0004602]; response to oxidative stress [GO:0006979]	response to oxidative stress [GO:0006979]
lcl|c198665_g3_i2|m.1050	m.1050	 cleavage and polyadenylation specificity factor subunit 5 [NUDT21] (m.1050)	K14397	NUDT21	 cleavage and polyadenylation specificity factor subunit 5		242						K14397	mRNA surveillance pathway		A0A3M6UCT8	Cleavage and polyadenylation specificity factor subunit 5		cytoplasm [GO:0005737]; mRNA cleavage factor complex [GO:0005849]; hydrolase activity [GO:0016787]; mRNA binding [GO:0003729]; mRNA polyadenylation [GO:0006378]	mRNA polyadenylation [GO:0006378]
lcl|c199545_g1_i1|m.1080	m.1080	 radial spoke head protein 9 [RSPH9] (m.1080)	K19757	RSPH9	 radial spoke head protein 9		258						K19757			A0A3M6T7N0	Uncharacterized protein		radial spoke [GO:0001534]; cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]	cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]
lcl|c199810_g1_i2|m.1089	m.1089	* [] (m.1089)					5	K23293			1		K23293			A0A2B4SFV0	Uncharacterized protein			
lcl|c200829_g1_i1|m.1157	m.1157	 tRNA (uracil-5-)-methyltransferase  [TRMT2A] (m.1157)	K15332	TRMT2A	 tRNA (uracil-5-)-methyltransferase 	[EC:2.1.1.-]	30						K15332			A0A3M6UBQ3	RRM domain-containing protein		RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]; RNA processing [GO:0006396]	RNA processing [GO:0006396]
lcl|c201141_g1_i1|m.1178	m.1178	catalytic activity [GO:0003824]** [] (m.1178)					297									A0A3M6UXN0	Uncharacterized protein		catalytic activity [GO:0003824]	
lcl|c201155_g1_i1|m.1182	m.1182	 20S proteasome subunit alpha 4  [PSMA7] (m.1182)	K02731	PSMA7	 20S proteasome subunit alpha 4 	[EC:3.4.25.1]	142						K02731	"Proteasome, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease, Spinocerebellar ataxia"		A0A3M6UKC8	Proteasome subunit alpha type (EC 3.4.25.1)		"cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin-dependent protein catabolic process [GO:0006511]"	ubiquitin-dependent protein catabolic process [GO:0006511]
lcl|c201157_g2_i3|m.1183	m.1183	* [] (m.1183)					8	K06792			1		K06792			A0A2B4RB74	CD209 antigen-like protein E		calcium ion binding [GO:0005509]	
lcl|c201183_g1_i1|m.1186	m.1186	 molecular chaperone HtpG [HSP90A] (m.1186)	K04079	HSP90A	 molecular chaperone HtpG		16						K04079	"Protein processing in endoplasmic reticulum, Antigen processing and presentation, PI3K-Akt signaling pathway, Necroptosis, NOD-like receptor signaling pathway, Plant-pathogen interaction, IL-17 signaling pathway, Th17 cell differentiation, Progesterone-mediated oocyte maturation, Estrogen signaling pathway, Salmonella infection, Pathways in cancer, Prostate cancer, Fluid shear stress and atherosclerosis"		F0WSX1	Heat shock protein 90 putative		ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	protein folding [GO:0006457]
lcl|c201413_g4_i1|m.1201	m.1201	 large subunit ribosomal protein L14e [RP-L14e] (m.1201)	K02875	RP-L14e	 large subunit ribosomal protein L14e		73						K02875	Ribosome		A0A2B4SVJ1	60S ribosomal protein L14		ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]
lcl|c201441_g1_i1|m.1204	m.1204	* [] (m.1204)		BHMT	 betaine-homocysteine S-methyltransferase 	[EC:2.1.1.5]	179	K00547			18		K00544			A0A3M6TU33	Hcy-binding domain-containing protein		betaine-homocysteine S-methyltransferase activity [GO:0047150]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]
lcl|c201696_g3_i1|m.1219	m.1219	 small subunit ribosomal protein S13e [RP-S13e] (m.1219)	K02953	RP-S13e	 small subunit ribosomal protein S13e		138						K02953	Ribosome		A0A2B4SVG8	40S ribosomal protein S13		ribosome [GO:0005840]; 3'-5' exonuclease activity [GO:0008408]; nucleic acid binding [GO:0003676]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]
lcl|c201793_g1_i1|m.1223	m.1223	 biogenesis of lysosome-related organelles complex 1 subunit 4 [BLOC1S4] (m.1223)	K08366	BLOC1S4	 biogenesis of lysosome-related organelles complex 1 subunit 4		33						K08366			A0A2B4RLY0	Biogenesis of lysosome-related organelles complex 1 subunit 4			
lcl|c202129_g1_i1|m.1242	m.1242	 histone H1/5 [H1_5] (m.1242)	K11275	H1_5	 histone H1/5		30						K11275			A0A2B4SQ72	Histone H5		host cell nucleus [GO:0042025]; nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; nucleosome assembly [GO:0006334]	nucleosome assembly [GO:0006334]
lcl|c202155_g1_i3|m.1244	m.1244	N-acetyltransferase domain-containing protein** [] (m.1244)	K06975	UNK	uncharacterized protein		44						K06975			A0A3M6U6H5	N-acetyltransferase domain-containing protein			
lcl|c202472_g1_i1|m.1259	m.1259	 histone H3* [H3] (m.1259)		H4	 histone H4		84	K11253	H3	 histone H3	5		K11254		"Alcoholism, Shigellosis, Transcriptional misregulation in cancer, Systemic lupus erythematosus"	A0A498L9T6	Histone H4		"host cell nucleus [GO:0042025]; nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; DNA-templated transcription, initiation [GO:0006352]"	"DNA-templated transcription, initiation [GO:0006352]"
lcl|c202641_g1_i1|m.1266	m.1266	Heterogeneous nuclear ribonucleoprotein U-like protein 1* [] (m.1266)														A0A2B4S4D9	Heterogeneous nuclear ribonucleoprotein U-like protein 1			
lcl|c202763_g1_i2|m.1275	m.1275	 valine--pyruvate aminotransferase [EC:2.6.1.66]* [avtA] (m.1275)					2	K00835	avtA	 valine--pyruvate aminotransferase [EC:2.6.1.66]	1		K00835		"Valine, leucine and isoleucine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"					
lcl|c202894_g5_i1|m.1285	m.1285	AIG1-type G domain-containing protein* [] (m.1285)					22									A0A3Q2DZ82	AIG1-type G domain-containing protein		GTP binding [GO:0005525]	
lcl|c203039_g1_i1|m.1291	m.1291	* [] (m.1291)					264	K09645			15		K09645			A0A3M6T825	Uncharacterized protein		carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; carboxylic acid metabolic process [GO:0019752]	carboxylic acid metabolic process [GO:0019752]
lcl|c203193_g1_i1|m.1308	m.1308	 14-3-3 protein beta/theta/zeta [YWHAB_Q_Z] (m.1308)	K16197	YWHAB_Q_Z	 14-3-3 protein beta/theta/zeta		118						K16197	"Cell cycle, MAPK signaling pathway - fly, Oocyte meiosis, PI3K-Akt signaling pathway, Longevity regulating pathway - worm, Hippo signaling pathway, Hippo signaling pathway - fly, Hepatitis C, Hepatitis B, Viral carcinogenesis"		A0A2B4SPP9	14-3-3 protein beta/alpha-A			
lcl|c203483_g1_i2|m.1328	m.1328	 deoxynucleoside triphosphate triphosphohydrolase SAMHD1 [EC:3.1.5.-]* [SAMHD1] (m.1328)					11	K22544	SAMHD1	 deoxynucleoside triphosphate triphosphohydrolase SAMHD1 [EC:3.1.5.-]	1		K22544		Human immunodeficiency virus 1 infection					
lcl|c203735_g1_i1|m.1335	m.1335	* [] (m.1335)		NR3B3	 estrogen-related receptor gamma		74	K08553			7		K08554			Q95WG3	Nuclear receptor AmNR2		host cell nucleus [GO:0042025]; nucleus [GO:0005634]; nuclear receptor activity [GO:0004879]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	
lcl|c203808_g1_i1|m.1339	m.1339	Chloride intracellular channel protein 1* [] (m.1339)														A0A2B4SJE1	Chloride intracellular channel protein 1			
